,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Abu Dhabi,Cockburn Town,79,80,21.46,-71.14,82.4,21.85
Acapulco,Suntar,95,58,62.16,117.65,72.68,1.86
Adrar,Port Alfred,0,35,-33.59,26.89,66.0,5.01
Ahipara,Jacareacanga,17,68,-6.22,-57.76,77.8,1.41
Airai,Wucheng,60,99,29.09,119.57,86.0,2.21
Aitape,Trebinje,0,51,42.71,18.35,74.8,8.05
Akhaldaba,Tazovskiy,0,76,67.47,78.7,41.26,8.25
Aki,Bluff,47,66,-23.58,149.07,66.33,22.91
Aklavik,Tuatapere,64,82,-46.13,167.69,48.0,5.99
Albany,Marawi,95,86,8.0,124.29,77.0,3.0
Alice Springs,Saint George,0,60,39.45,22.34,74.82,3.13
Alofi,Hermanus,83,93,-34.42,19.24,51.44,13.0
Alta Floresta,Acapulco,20,74,16.86,-99.88,87.8,10.29
Ambon,Lompoc,1,60,34.64,-120.46,71.73,16.11
Amga,Kagadi,16,88,0.95,30.8,66.67,3.2
Anadyr,Nuuk,20,76,64.17,-51.74,47.26,9.17
Ancud,Port Macquarie,16,100,-31.43,152.91,57.52,4.7
Angoche,Atuona,0,74,-9.8,-139.03,80.84,13.35
Angol,Punta Arenas,40,74,-53.16,-70.91,28.22,13.87
Angola,Yarada,91,76,17.65,83.27,84.46,13.04
Araouane,Phalaborwa,0,58,-23.95,31.14,57.2,1.72
Arraial do Cabo,Chuy,61,70,-33.69,-53.46,51.79,11.25
Ashland,Rikitea,100,82,-23.12,-134.97,75.33,17.16
Asten,Nikolskoye,90,93,59.7,30.79,56.8,11.18
Aswan,Mataura,4,82,-46.19,168.86,48.0,5.99
Asyut,Dubuque,1,100,42.5,-90.66,70.09,6.93
Atambua,Mount Gambier,40,62,-37.83,140.78,57.2,17.22
Atasu,Pevek,100,95,69.7,170.27,34.63,11.72
Athens,Cape Town,75,93,-33.93,18.42,53.28,18.34
Atuona,Hithadhoo,100,69,-0.6,73.08,83.77,5.28
Avarua,Avarua,98,83,-21.21,-159.78,71.6,10.29
Avera,Hobart,75,66,-42.88,147.33,53.2,9.17
Baculin,Martan-Chu,0,88,43.06,45.56,69.8,5.79
Bahia Honda,Torbat-e Jam,0,23,35.24,60.63,72.47,8.97
Ballina,Kabwe,0,76,-14.44,28.44,52.45,5.64
Bambanglipuro,Kahului,20,55,20.89,-156.47,84.72,6.93
Bambous Virieux,Kurumkan,80,56,54.33,110.32,59.31,5.66
Bani,Port Elizabeth,1,43,39.31,-74.98,86.7,3.36
Banjar,Kodiak,1,62,39.95,-94.76,87.15,14.99
Barrow,Busselton,10,98,-33.64,115.35,38.68,21.18
Baruun-Urt,Tuktoyaktuk,40,81,69.44,-133.03,44.6,10.29
Basco,Sibu,75,94,2.29,111.83,75.07,4.7
Bassar,Hilo,90,74,19.71,-155.08,75.42,6.93
Batagay-Alyta,Codrington,90,93,-28.95,153.24,58.6,7.72
Bathsheba,Arraial do Cabo,32,90,-22.97,-42.02,72.94,5.86
Battle Creek,Puerto Varas,90,93,-41.32,-72.98,39.2,5.82
Bay Roberts,Zatoka,0,63,50.04,20.52,62.49,9.17
Bellevue,Connersville,1,55,39.64,-85.14,86.07,5.82
Beringovskiy,Provideniya,90,87,64.42,-173.23,51.8,2.24
Berlevag,Dikson,84,96,73.51,80.55,33.8,4.74
Bethel,Carnarvon,0,28,-30.97,22.13,46.31,14.85
Biak,Bethel,40,60,60.79,-161.76,69.8,3.36
Bilibino,Te Anau,37,77,-45.41,167.72,45.76,4.45
Bintulu,Nijar,0,73,36.97,-2.21,77.0,1.12
Bitlis,Vilhena,0,61,-12.74,-60.15,78.8,5.82
Black River,New Norfolk,75,66,-42.78,147.06,53.19,9.17
Bluff,Yellowknife,40,24,62.45,-114.38,62.31,10.29
Blythe,Thompson,75,35,55.74,-97.86,71.6,4.7
Boende,Pyshchug,0,95,58.89,45.71,43.7,5.26
Bollnas,Imeni Poliny Osipenko,99,47,52.42,136.49,67.77,3.8
